Customer,Address,Phone,Personnummer,BankAccount
Kristina Blomberg,"Ringvägen 06, 64659 Kalmar",099-22 72 57,591202-5292,SE8902XIMR45726412027481
Kristina Blomberg,"Ringvägen 06, 64659 Kalmar",099-22 72 57,591202-5292,SE8902KYCA60096331052021
Mariann Stark Gustavsson,"Åkergatan 64, 59317 Trelleborg",+46 (0)83 21 31 49,840925-9846,SE8902ETJQ36713699265219
Mariann Stark Gustavsson,"Åkergatan 64, 59317 Trelleborg",+46 (0)83 21 31 49,840925-9846,SE8902BHZA67238418870555
Jasmine Blomqvist Pettersson,"Ringstigen 2, 74146 Malmö",025-24 85 03,570909-2034,SE8902SBAO89984211669214
Jasmine Blomqvist Pettersson,"Ringstigen 2, 74146 Malmö",025-24 85 03,570909-2034,SE8902SJTL11599798500691
Thea Larsson-Bergstrand,"Stationsgränd 10, 22740 Alingsås",+46 (0)758 556 37,910527-3057,SE8902NDRY94330087183063
Thea Larsson-Bergstrand,"Stationsgränd 10, 22740 Alingsås",+46 (0)758 556 37,910527-3057,SE8902YVIK70415315075844
Kristina Lundberg,"Ängsstigen 14, 96350 Uppsala",0070-014 34,700115-0627,SE8902WLSU18715288783344
Kristina Lundberg,"Ängsstigen 14, 96350 Uppsala",0070-014 34,700115-0627,SE8902SUUS97732018069804
Lena Karlsson,"Industrivägen 316, 29657 Falun",08-78 36 59,560803-8641,SE8902BCBM99110024350767
Ingegärd Johansson,"Villavägen 0, 44256 Jönköping",+46 (0)451 467 05,771211-1009,SE8902ZMQM73231473582224
Elin Eriksson,"Idrottsgränd 543, 12677 Varberg",0634-07 38 10,941208-9022,SE8902STGX47356996647044
Elin Eriksson,"Idrottsgränd 543, 12677 Varberg",0634-07 38 10,941208-9022,SE8902DRPZ39900157591562
Annikki Larsson,"Åkergränd 271, 83946 Växjö",0665-38 60 26,360907-5977,SE8902XFUT86856685665844
Annikki Larsson,"Åkergränd 271, 83946 Växjö",0665-38 60 26,360907-5977,SE8902UNAS99261172805475
Moa Johansson,"Kvarnvägen 270, 30543 Umeå",08-441 00 26,550101-8500,SE8902QMCF81440052089706
Kajsa Karlsson,"Kyrkgränd 4, 24700 Karlskrona",+46 (0)8 573 605 98,700412-4975,SE8902OVIG64386314960609
Kajsa Karlsson,"Kyrkgränd 4, 24700 Karlskrona",+46 (0)8 573 605 98,700412-4975,SE8902YWMN91464587881536
Anna-Karin Karlsson,"Ringgatan 261, 83499 Karlskoga",015-561 70 98,850407-0510,SE8902WSMI87979653368068
Anna-Karin Karlsson,"Ringgatan 261, 83499 Karlskoga",015-561 70 98,850407-0510,SE8902GMUX05957198164015
Emma Hallberg,"Villagatan 0, 97279 Malmö",002-87 48 92,920824-7032,SE8902CZCK70016925304587
Karin Sjöström,"Kyrkovägen 41, 37228 Karlskrona",052-824 95 99,560820-7469,SE8902PZTL23820170338253
Kristina Omar,"Stationsgatan 4, 75053 Skellefteå",+46 (0)8 661 304 67,660901-6750,SE8902ZZJJ01114055756075
Margit Nilsson,"Trädgårdsvägen 5, 40697 Luleå",079-021 98 99,900511-0326,SE8902PPFR05236832411337
Margit Nilsson,"Trädgårdsvägen 5, 40697 Luleå",079-021 98 99,900511-0326,SE8902WEFD50718097527603
Sandra Pettersson,"Kyrkogatan 209, 91585 Lund",+46 (0)8 963 134 63,900201-9900,SE8902HSQU88933197179143
Alicia Pålsson,"Strandvägen 599, 16910 Karlstad",045-88 39 81,710228-3640,SE8902WRYQ08007617557527
Margot Samuelsson,"Åkervägen 67, 55880 Falun",08-626 704 15,990825-8677,SE8902FCSW95176136252838
Elin Robertsson,"Furugränd 003, 89053 Södertälje",08-359 10 30,890122-2250,SE8902BQNQ69176231619922
Yvonne Andersson,"Skolvägen 66, 37163 Eskilstuna",0485-75 89 18,870321-1345,SE8902BMSI04092242487168
Julia Lundmark-Karlsson,"Idrottstorget 935, 36886 Halmstad",070-557 83 02,810826-8072,SE8902HWVN51824433982815
Julia Lundmark-Karlsson,"Idrottstorget 935, 36886 Halmstad",070-557 83 02,810826-8072,SE8902EBDV16116935097956
Solveig Hansson-Andersson,"Nygatan 314, 65418 Varberg",010-56 07 70,810530-5869,SE8902FTQH91546456005449
Monica Johansson-Ericson,"Ektorget 5, 43064 Varberg",08-78 52 26,020903-0360,SE8902XRCE19182210961798
Monica Johansson-Ericson,"Ektorget 5, 43064 Varberg",08-78 52 26,020903-0360,SE8902ILZB90860503618301
Helena Werner,"Trädgårdsvägen 691, 10651 Karlskrona",08-836 12 76,990425-4589,SE8902FBYZ81516210215906
Helena Werner,"Trädgårdsvägen 691, 10651 Karlskrona",08-836 12 76,990425-4589,SE8902CDDV64227210788344
Helena Werner,"Trädgårdsvägen 691, 10651 Karlskrona",08-836 12 76,990425-4589,SE8902ZVJW55438698935470
Maria Abdi,"Skogstorget 2, 51756 Uddevalla",+46 (0)92 88 08 12,800601-9205,SE8902LOLQ30361773270969
Maria Abdi,"Skogstorget 2, 51756 Uddevalla",+46 (0)92 88 08 12,800601-9205,SE8902RCFY84234093453234
Linnea Persson,"Trädgårdsgränd 9, 84701 Malmö",072-74 41 42,531218-9045,SE8902AEVE73182987685000
Linnea Persson,"Trädgårdsgränd 9, 84701 Malmö",072-74 41 42,531218-9045,SE8902PTHR81156296745441
Emelie Nilsson,"Skolgatan 8, 58173 Piteå",08-22 77 10,830316-7921,SE8902AAYR66080694259848
Anneli Nilsson,"Fabrikstorget 23, 56469 Stockholm",+46 (0)64 25 63 94,591025-3086,SE8902WYTK50048312433490
Anneli Nilsson,"Fabrikstorget 23, 56469 Stockholm",+46 (0)64 25 63 94,591025-3086,SE8902THJU27854211405441
Jenny Strömberg,"Trädgårdsvägen 7, 99213 Stockholm",08-83 92 09,610124-2102,SE8902QNGU62382925490296
Jenny Strömberg,"Trädgårdsvägen 7, 99213 Stockholm",08-83 92 09,610124-2102,SE8902UZFC35584103012440
Jenny Strömberg,"Trädgårdsvägen 7, 99213 Stockholm",08-83 92 09,610124-2102,SE8902BGCF67757260981303
Jenny Strömberg,"Trädgårdsvägen 7, 99213 Stockholm",08-83 92 09,610124-2102,SE8902KHYH04176749922863
Yvonne Bengtsson,"Kvarnstigen 5, 31646 Falun",0400-856 03,750816-9906,SE8902ZDPX83448033012017
Olga Sundström,"Ekvägen 9, 63985 Östersund",0017-72 73 92,000729-2626,SE8902UAPI02766067279075
Olga Sundström,"Ekvägen 9, 63985 Östersund",0017-72 73 92,000729-2626,SE8902YTFQ16904012751995
Olga Sundström,"Ekvägen 9, 63985 Östersund",0017-72 73 92,000729-2626,SE8902SSGW48690336553109
Marie-Louise Dahlqvist,"Strandgatan 16, 76860 Trelleborg",+46 (0)8 043 043 43,951219-1827,SE8902IMVA62076292607481
