number,personnummer
SE8902XIMR45726412027481,591202-5292
SE8902KYCA60096331052021,591202-5292
SE8902ETJQ36713699265219,840925-9846
SE8902BHZA67238418870555,840925-9846
SE8902SBAO89984211669214,570909-2034
SE8902SJTL11599798500691,570909-2034
SE8902NDRY94330087183063,910527-3057
SE8902YVIK70415315075844,910527-3057
SE8902WLSU18715288783344,700115-0627
SE8902SUUS97732018069804,700115-0627
SE8902BCBM99110024350767,560803-8641
SE8902ZMQM73231473582224,771211-1009
SE8902STGX47356996647044,941208-9022
SE8902DRPZ39900157591562,941208-9022
SE8902XFUT86856685665844,360907-5977
SE8902UNAS99261172805475,360907-5977
SE8902QMCF81440052089706,550101-8500
SE8902OVIG64386314960609,700412-4975
SE8902YWMN91464587881536,700412-4975
SE8902WSMI87979653368068,850407-0510
SE8902GMUX05957198164015,850407-0510
SE8902CZCK70016925304587,920824-7032
SE8902PZTL23820170338253,560820-7469
SE8902ZZJJ01114055756075,660901-6750
SE8902PPFR05236832411337,900511-0326
SE8902WEFD50718097527603,900511-0326
SE8902HSQU88933197179143,900201-9900
SE8902WRYQ08007617557527,710228-3640
SE8902FCSW95176136252838,990825-8677
SE8902BQNQ69176231619922,890122-2250
SE8902BMSI04092242487168,870321-1345
SE8902HWVN51824433982815,810826-8072
SE8902EBDV16116935097956,810826-8072
SE8902FTQH91546456005449,810530-5869
SE8902XRCE19182210961798,020903-0360
SE8902ILZB90860503618301,020903-0360
SE8902FBYZ81516210215906,990425-4589
SE8902CDDV64227210788344,990425-4589
SE8902ZVJW55438698935470,990425-4589
SE8902LOLQ30361773270969,800601-9205
SE8902RCFY84234093453234,800601-9205
SE8902AEVE73182987685000,531218-9045
SE8902PTHR81156296745441,531218-9045
SE8902AAYR66080694259848,830316-7921
SE8902WYTK50048312433490,591025-3086
SE8902THJU27854211405441,591025-3086
SE8902QNGU62382925490296,610124-2102
SE8902UZFC35584103012440,610124-2102
SE8902BGCF67757260981303,610124-2102
SE8902KHYH04176749922863,610124-2102
SE8902ZDPX83448033012017,750816-9906
SE8902UAPI02766067279075,000729-2626
SE8902YTFQ16904012751995,000729-2626
SE8902SSGW48690336553109,000729-2626
SE8902IMVA62076292607481,951219-1827
SE8902QYFT57042914861124,360509-7157
SE8902RLSG12767085782996,360509-7157
SE8902PUDL58377351315770,490205-4156
SE8902AQRB36999472864205,490205-4156
SE8902IBAQ78684905583677,960118-3750
SE8902LYWR90116189913788,960118-3750
SE8902XUAX18122331509540,960118-3750
SE8902KYMF00818373014541,960118-3750
SE8902THDC84449645536652,960118-3750
SE8902SAWK60407544811166,400615-2179
SE8902NMQR71855583325022,400615-2179
SE8902FPSB19207759109856,831015-6966
SE8902PADC91933870541145,000528-6208
SE8902DEGT90866342611697,000528-6208
SE8902JKWB70201452045669,810127-9324
SE8902HPKQ79721411987869,810127-9324
SE8902JWUP15793818606310,810127-9324
SE8902FEBM25264070631694,810127-9324
SE8902IHHA88912900484285,810127-9324
SE8902GSEI15741490053824,950610-3333
SE8902DZXI76159867731811,950610-3333
SE8902AKAN49343326807248,950610-3333
SE8902COGU92653261545064,950610-3333
SE8902RFUL28985231334673,780522-8538
SE8902OEXR07690449901329,780522-8538
SE8902LSVH70336677964775,780522-8538
SE8902GVXJ12363036515378,840325-4447
SE8902HYTC59826855483095,570727-4113
SE8902MJPD36140835552187,601221-1162
SE8902OXYI49919117049780,370410-2593
